0,4,5,4-5,0
1,9,6,9-7-6,1
2,0,13,0-2-5-12-13,2
3,6,11,6-4-3-8-11,3
4,9,10,9-10,4
5,1,12,1-2-5-12,5
6,7,3,7-1-0-3,6
7,2,4,2-5-4,7
8,11,6,11-8-3-4-6,8
10,3,10,3-0-2-5-10,10
11,9,0,9-7-1-0,11
16,7,0,7-1-0,16
17,10,11,10-9-11,17
20,10,6,10-5-4-6,20
23,13,11,13-8-11,23
24,2,4,2-0-3-4,24
25,11,6,11-9-7-6,25
27,11,8,11-8,27
28,4,6,4-6,28
30,3,0,3-0,30
33,10,6,10-5-4-6,33
41,7,3,7-6-4-3,41
42,12,11,12-13-8-11,42
43,0,1,0-1,43
46,9,8,9-11-8,46
48,0,4,0-3-4,48
49,13,5,13-12-5,49
50,7,4,7-6-4,50
52,6,2,6-7-1-2,52
56,6,3,6-4-3,56
58,9,5,9-10-5,58
59,7,0,7-1-0,59
60,0,6,0-1-7-6,60
64,11,5,11-9-10-5,64
66,8,13,8-13,66
69,6,2,6-7-1-2,69
71,13,11,13-12-11,71
73,6,4,6-4,73
76,9,10,9-10,76
80,2,1,2-1,80
88,1,0,1-2-0,88
94,3,6,3-4-6,94
95,2,0,2-0,95
99,3,4,3-4,99
